Dennis	110	148	151	175	194	193	243	258	264
Denniz	-	-	10	19	10	15	14	10	-
Devin 	24	11	-	-	-	-	-	-	-
Dexter	26	30	19	15	-	-	-	-	-
Didrik	32	25	31	33	22	26	29	19	26
Diego	10	-	-	-	-	-	-	-	-
Dilan	11	-	-	-	-	-	-	-	-
Dino	15	21	18	12	14	18	17	16	12
Dion	13	-	-	-	-	-	-	-	-
Dominic	14	15	12	-	-	-	-	-	-
Douglas	74	79	69	62	73	80	89	47	67
Dylan	38	16	17	23	12	19	14	-	-
Ebbe	49	41	38	21	11	-	-	-	-
Eddie	104	95	92	89	79	64	72	64	78
Edgar	19	17	17	16	-	13	11	-	-
Edin	14	11	12	21	11	16	-	-	16
Edmond	10	-	-	-	-	-	-	-	-
Edvard	27	21	31	26	21	27	22	14	10
Edward	50	32	39	44	47	37	33	22	23
Edvin	407	400	368	345	366	308	251	249	175
Edwin	165	127	106	123	128	114	81	71	50
Efe	10	-	-	-	-	-	-	-	-
Egil	13	13	-	-	-	-	-	-	-
Egon	12	14	11	10	14	-	-	-	-
Einar	37	32	31	32	23	23	14	18	19
Eldin	-	-	-	-	11	-	-	-	-
Elia 	10	-	10	-	-	-	-	-	-
Eliah	11	-	-	-	-	-	-	-	-
Elias	1,035	983	914	919	871	696	597	492	398
Eliaz	10	-	-	-	-	-	-	-	-
Elis	149	111	82	61	55	48	31	21	26
Elliot	441	405	280	262	232	195	155	97	58
Elliott	36	39	27	36	23	21	26	21	10
Elmer	35	19	18	16	19	14	-	10	-
Elof	-	-	12	-	-	-	-	-	-
Elton	72	37	32	21	14	-	-	-	-
Elvin	39	41	36	23	18	-	-	-	-
Elvis	39	48	39	17	26	12	-	-	-
Emanuel	83	75	70	90	100	87	80	73	63
Emil	899	941	1,018	1,106	1,082	950	906	894	845
Emilio	68	42	42	26	32	22	21	19	18
Emin	28	16	17	-	10	-	-	-	-
Emir	20	18	12	14	21	12	16	-	-
Emre	13	-	23	23	14	11	13	-	11
Emrik	31	26	24	26	21	16	19	13	-
Enes	17	11	12	10	-	-	-	-	-
Ensar	10	-	-	-	-	-	-	-	-
Enzo 	19	12	-	-	-	-	-	-	-
Eren	10	-	-	-	-	-	-	-	-
Eric	155	193	192	211	221	236	215	198	258
Erik	717	707	836	830	899	820	851	921	947
Erjon	10	-	-	-	-	-	-	-	-
Eskil	37	47	44	32	33	31	16	14	-
Fabian	169	198	206	188	227	186	189	176	142
Felipe	12	-	-	-	-	-	-	-	-
Felix	505	488	491	460	405	433	466	492	483
Filip	704	744	809	784	757	731	736	780	830
Filiph	-	-	-	12	-	10	12	15	11
Finn 	-	-	11	-	-	-	-	-	-
Folke	42	18	14	10	17	-	11	-	-
Frank	43	30	21	16	15	11	-	-	11
Frans	70	33	30	39	22	17	11	19	22
Fred	34	30	15	15	16	11	13	16	13
Freddie	10	13	-	11	-	-	-	-	12
Freddy	-	10	-	-	-	-	-	-	-
Fredric	-	-	-	-	10	13	15	17	12
Fredrik	103	107	130	149	201	232	330	374	426
Frej	12	12	-	11	-	-	-	-	-
Frode 	-	-	10	-	-	-	-	-	-
Gabriel	353	375	384	386	389	344	331	326	268
Georg	-	-	12	-	11	-	-	15	-
George	17	16	21	20	25	19	21	30	19
Gordon	-	-	12	-	-	11	-	-	-
Gottfrid	-	15	-	-	-	-	-	-	-
Gunnar	21	14	12	14	-	15	19	-	-
Gustaf	90	118	158	143	155	133	139	145	155
Gustav	579	614	676	704	664	599	587	561	547
Hadi	19	19	-	10	-	14	-	-	-
Hampus	426	411	484	553	612	576	560	447	444
Hamza	40	19	22	12	16	17	16	12	13
Hannes	248	228	222	199	196	217	191	171	143
Hans	-	-	-	11	-	11	14	-	15
Harald	31	35	37	34	27	37	25	38	20
Haris	14	13	10	13	14	-	-	21	21
Harry	64	48	42	27	23	23	16	10	-
Harun	-	12	-	-	-	-	-	-	-
Hasan	-	-	-	10	11	-	-	-	14
Hassan	38	24	30	32	21	31	27	23	25
Hector 	13	19	10	-	-	-	-	-	-
Hektor	12	12	-	-	-	-	-	-	-
Helmer	11	24	18	16	-	-	-	-	-
Henning	26	23	16	15	21	-	15	10	18
Henric	-	-	12	10	17	17	12	14	19
Henrik	86	92	101	135	145	156	172	203	235
Henry	44	39	29	18	25	19	17	11	26
Herman	93	103	92	97	94	90	80	69	54
Hilding 	11	13	11	-	-	-	-	-	-
Hjalmar	89	85	90	57	69	38	57	26	36
Holger	28	19	24	12	13	-	11	11	-
Hugo	964	945	873	777	735	671	623	404	271
Hussein	33	31	23	36	20	20	20	26	15
Håkan	-	-	-	-	-	-	-	-	12
Ian	32	27	32	25	18	21	-	11	13
Ibrahim	48	46	55	32	34	35	38	29	54
Ilias	11	-	-	-	-	-	-	-	-
Isaac	48	58	49	58	48	55	47	23	22
Isac	256	300	285	286	262	246	201	160	125
Isak	593	626	623	619	556	447	430	352	340
Isidor 	-	10	12	-	-	-	-	-	-
Ismail	20	-	13	10	11	12	12	11	-
Ivan	38	47	35	29	36	30	26	20	24
Ivar	85	87	81	66	43	45	34	40	21
Izak	-	-	10	-	-	-	-	-	-
Jack	182	107	84	95	88	77	72	89	71
Jacob	239	255	321	373	456	325	404	452	456
Jakob	241	221	292	311	321	309	342	406	416
James	31	17	14	15	20	12	18	16	24
Jamie	28	21	30	33	13	-	-	-	-
Jan	13	13	11	11	15	12	10	14	12
Jason 	11	12	-	-	-	-	-	-	-
Jasper 	-	-	10	-	-	-	-	-	-
Jens	25	29	38	37	42	40	49	51	76
Jerry	-	-	-	-	-	-	13	13	16
Jesper	198	271	294	359	386	416	493	561	708
Jesse 	10	-	-	-	-	-	-	-	-
Jim	13	28	22	19	21	20	19	31	33
Jimmie	-	10	-	-	-	-	-	13	18
Jimmy	17	21	30	25	31	39	54	63	82
Joachim	-	10	-	17	-	11	18	17	32
Joacim	-	-	-	12	13	19	36	19	35
Joakim	63	86	84	122	165	195	204	251	257
Joar	44	50	40	43	28	29	31	26	32
Joel	457	498	477	511	485	474	410	389	402
Johan	194	264	290	375	399	464	533	625	677
Johannes	163	240	214	245	238	259	268	244	278
John	138	149	146	132	157	147	164	177	192
Johnny	10	-	-	-	-	-	13	11	16
Jon	19	13	18	18	22	25	16	13	15
Jonah 	22	11	10	-	-	-	-	-	-
Jonas	92	90	101	133	140	155	166	204	291
Jonatan	114	134	143	138	154	164	177	189	200
Jonathan	483	541	602	613	612	605	699	741	749
Jonny	-	-	-	-	11	-	-	13	11
Jordan	24	34	25	15	17	13	13	-	-
Josef	110	143	123	131	97	93	107	92	94
Joseph	24	16	11	20	-	11	25	16	23
Joshua	26	28	17	19	27	26	22	20	17
Julian	73	45	37	40	38	20	17	22	15
Julius	85	70	76	89	81	92	74	58	64
Justin	-	14	13	-	-	-	-	-	-
Kalle	77	90	81	90	83	67	72	44	52
Karim	-	-	12	-	-	13	10	13	-
Karl	156	200	223	232	213	210	211	207	244
Kaspar	-	-	-	10	12	-	-	-	-
Kasper	98	108	120	129	95	78	111	85	76
Kelvin 	14	10	-	-	-	-	-	-	-
Kenan	18	-	10	15	-	-	-	-	-
Kenny	14	13	13	20	21	22	22	29	36
Kevin	481	528	549	487	494	466	536	487	475
Kewin	13	15	19	12	10	-	-	-	10
Khalid	15	10	-	-	-	-	-	14	11
Kian	28	20	13	12	-	-	-	-	-
Kim	43	71	81	85	82	80	106	99	124
Kimi	10	10	-	-	-	-	-	-	-
Klas	-	12	11	18	20	21	26	18	19
Knut	13	18	21	11	20	14	10	14	-
Konrad	15	15	11	16	18	14	15	-	13
Kristian	37	37	29	35	35	43	54	48	63
Kristoffer	40	51	61	73	78	73	82	93	107
Laban	-	12	11	12	-	-	-	-	-
Lars	-	15	11	19	13	17	22	28	35
Leandro	12	-	-	-	11	-	-	-	-
Leo	666	631	575	454	312	238	178	140	109
Leon	273	236	147	135	107	71	71	55	36
León	20	-	-	-	-	-	-	-	-
Léon	18	27	11	-	-	-	-	-	-
Leonard	50	44	47	53	35	33	44	27	22
Leonardo	28	36	21	24	21	19	18	24	12
Leopold	18	22	19	19	15	16	-	-	-
Levi	-	13	-	10	11	-	-	-	-
Liam	643	670	537	522	296	209	147	98	57
Lias 	12	-	-	-	-	-	-	-	-
Linus	671	730	743	853	815	850	808	770	749
Lo 	-	-	10	-	-	-	-	-	-
Loke	112	110	103	86	54	38	23	23	-
Love	161	141	139	137	112	114	90	76	70
Lowe	74	41	43	42	18	20	13	10	13
Lucas	607	587	559	566	490	448	474	402	370
Ludvig	403	436	448	407	343	388	327	297	304
Ludwig	211	176	214	227	191	165	155	171	164
Luka	19	17	10	-	12	10	-	-	-
Lukas	556	502	524	502	487	442	412	456	381
Magnus	17	30	24	29	42	49	50	44	78
Mahdi 	15	-	-	-	-	-	-	-	-
Mahmoud	-	-	-	10	11	10	-	10	-
Malcolm	22	23	26	24	23	21	15	19	16
Malek	10	-	-	-	-	-	-	-	-
Malik	20	10	13	-	-	-	-	-	-
Malte	240	227	196	168	119	88	54	44	32
Manfred	24	15	16	13	16	16	10	10	11
Manne	12	11	18	11	15	-	-	10	-
Manuel	-	10	-	-	-	-	-	-	-
Marc	-	-	-	-	-	-	-	10	-
Marcel	-	-	10	-	-	10	12	10	-
Marco	-	14	-	13	18	21	17	18	18
Marcus	209	282	379	414	462	493	576	599	648
Mario	23	16	18	14	11	12	-	12	15
Marius	24	20	18	12	15	-	-	-	-
Mark	-	-	-	11	10	-	13	15	15
Marko	14	19	14	19	15	11	12	19	16
Markus	102	127	134	165	163	181	200	253	260
Marlon	10	12	-	10	-	-	-	-	-
Martin	168	199	231	287	304	332	382	428	493
Marvin	-	10	-	-	10	-	-	-	-
Marwin	-	12	10	-	-	-	-	-	-
Mateo 	21	14	-	-	-	-	-	-	-
Matheo	14	14	-	-	-	-	-	-	-
Matheus	14	10	10	-	-	-	-	-	-
Mathias	46	39	47	80	73	78	84	134	123
Mats	-	-	-	-	-	-	-	-	12
Matteo 	25	17	15	-	-	-	-	-	-
Matteus	32	30	30	22	22	19	20	11	-
Matthias	-	-	-	-	-	-	-	12	10
Mattias	129	118	173	178	196	222	288	323	333
Mattis	30	26	23	30	37	27	26	13	19
Mauritz	11	12	-	12	10	-	-	-	-
Max	668	636	649	543	518	474	435	394	356
Maximiliam 	-	10	-	-	-	-	-	-	-
Maximilian	90	92	120	88	93	72	45	51	39
Maximillian	-	-	10	-	13	-	-	-	-
Maximus	31	24	20	16	21	-	-	-	-
Mehdi	-	-	-	-	-	-	-	-	10
Melker	310	274	274	230	183	142	129	65	49
Melvin	495	445	318	261	207	130	69	24	19
Melwin	143	104	43	52	42	19	27	-	-
Michael	38	30	43	41	51	41	59	52	62
Michel	-	14	13	11	16	-	17	19	16
Mika	-	-	-	-	-	-	12	-	-
Mikael	58	55	61	71	72	106	113	134	154
Mikail	11	-	-	-	-	10	-	-	-
Mike	-	-	-	-	13	11	-	-	-
Milad	10	-	-	-	-	-	-	11	-
Milan	13	12	12	-	-	-	10	-	-
Milian 	13	-	-	-	-	-	-	-	-
Mille 	40	33	24	-	-	-	-	-	-
Milo 	52	34	-	-	-	-	-	-	-
Milton	112	117	68	46	27	44	22	19	17
Mio	78	67	47	32	26	10	-	-	-
Mohamad	11	-	17	15	-	12	14	12	11
Mohamed	51	42	40	34	32	37	56	53	44
Mohammad	41	32	35	36	25	25	23	26	25
Mohammed	56	60	58	44	67	41	47	50	47
Moltas	27	18	23	15	10	14	-	-	-
Morgan	38	37	39	31	34	33	43	31	34
Morris	35	19	31	20	10	-	11	-	-
Moses	10	-	-	12	-	-	-	-	-
Mostafa	14	-	-	-	10	-	10	-	-
Muhammad 	16	-	-	-	-	-	-	-	-
Muhammed	-	10	11	-	11	10	10	-	-
Mustafa	28	26	25	17	25	20	22	27	22
Måns	254	176	181	161	146	138	109	128	109
Mårten	-	16	17	22	21	16	14	29	33
Natanael	10	10	13	13	10	-	10	-	-
Nathan	19	17	16	12	11	-	-	-	-
Nathanael	11	12	-	10	12	-	-	-	-
Nelson 	10	-	-	-	-	-	-	-	-
Nemo	23	22	19	11	-	-	-	-	-
Neo	224	194	137	93	33	27	15	-	-
Nicholas	28	23	31	26	29	34	22	22	24
Nick	12	16	10	15	12	-	11	10	22
Nicklas	18	18	18	19	27	22	32	47	53
Niclas	12	13	21	25	41	45	49	55	64
Nico	10	-	-	10	-	-	-	-	-
Nicolai	-	10	-	-	-	-	-	-	-
Nicolas	35	32	22	21	20	29	28	19	12
Niklas	40	52	69	81	87	133	132	190	247
Nikola	20	21	21	10	-	18	23	19	20
Nikolaj 	11	-	15	-	-	-	-	-	-
Nilas 	-	-	11	-	-	-	-	-	-
Nils	308	288	255	263	237	212	197	173	143
Nima	-	-	-	-	11	-	-	10	-
Nino	11	10	-	10	-	-	-	-	-
Noa	61	64	55	65	62	43	44	39	16
Noah	441	364	321	275	236	181	148	100	54
Noak	-	-	-	11	-	-	-	-	-
Noel	265	283	273	252	151	78	55	23	27
Nore	10	-	-	-	-	-	-	-	-
Norton 	-	-	13	-	-	-	-	-	-
Odin 	12	-	-	-	-	-	-	-	-
Ola	18	10	-	14	18	12	13	13	31
Oliver	601	653	627	633	647	559	494	476	476
Oliwer	77	63	57	67	69	60	44	38	40
Olle	432	395	355	337	276	202	186	174	172
Olliver	-	-	-	-	-	-	-	11	-
Olof	75	77	85	75	80	79	53	65	76
Olov	-	-	10	-	-	-	-	10	-
Omar	49	37	36	37	24	40	42	39	46
Oscar	636	633	624	572	650	604	590	699	639
Oskar	521	523	522	479	507	492	545	640	545
Osman	-	-	-	-	12	-	-	-	10
Ossian	47	48	48	45	33	24	26	23	16
Otto	116	115	100	99	65	62	68	48	52
Pascal	-	-	-	11	-	-	-	-	-
Patric	-	-	-	-	-	12	16	14	26
Patrick	-	10	15	10	20	21	15	12	19
Patrik	29	42	49	55	74	71	84	93	124
Paul	10	11	22	17	16	14	20	18	26
Pelle	50	44	35	42	38	21	24	26	27
Per	21	24	24	41	42	33	38	54	59
Peter	23	24	21	34	41	40	42	52	54
Petrus	-	-	10	-	16	10	13	-	10
Petter	46	55	61	67	83	84	96	84	92
Philip	271	265	374	341	316	368	409	454	465
Pierre	-	12	-	-	-	11	12	12	22
Pontus	201	214	296	325	334	339	368	411	471
Pär	-	-	-	-	-	-	-	-	12
Rafael	25	12	17	13	-	11	16	-	-
Ragnar	-	-	-	13	10	-	-	-	-
Rami	13	15	-	17	10	-	11	-	10
Rasmus	476	532	648	653	612	639	613	658	586
Rayan 	12	13	-	-	-	-	-	-	-
Razmus	-	-	-	-	12	-	-	-	-
Richard	24	21	27	38	47	33	64	76	65
Rickard	29	30	49	41	51	64	72	108	91
Ricky	-	-	-	-	-	-	14	-	-
Rikard	11	15	-	21	21	40	30	51	41
Robert	26	30	29	36	51	50	93	89	106
Roberto	-	-	-	-	-	-	-	12	-
Robin	306	328	343	354	420	391	425	414	476
Roger	-	-	-	-	-	-	-	-	10
Romeo	29	26	16	10	-	-	-	-	-
Roni	12	-	-	-	10	-	-	10	-
Ruben	71	58	43	38	53	45	21	29	37
Rufus	-	12	-	10	-	-	-	-	-
Ryan	12	13	16	-	-	-	11	-	-
Sakarias	14	-	10	-	-	-	11	-	-
Sam	101	81	74	62	55	61	52	49	44
Sami	15	22	15	18	21	13	16	20	24
Samir	-	-	12	-	-	12	-	13	14
Sammy	11	-	-	11	-	-	-	17	-
Samuel	382	361	402	462	499	518	587	601	483
Sander	25	14	22	21	-	10	-	-	-
Scott 	14	-	-	-	-	-	-	-	-
Sean	25	10	16	11	15	20	14	-	16
Sebastian	453	418	541	577	614	559	636	651	592
