Emma	138
Madison	86
Emily	81
Hannah	57
Abigail	56
Grace	54
Olivia	51
Sarah	51
Lauren	49
Ella	45
MacKenzie	39
Chloe	36
Anna	34
Brooklyn	34
Julia	33
Taylor	33
Hailey	32
Haley	31
Jenna	30
Rebecca	30
