CATHARINA 	7 	6 	5 	8 	6 	11 	9 	10 	14 	6
CATHRINE 	20 	15 	24 	30 	40 	47 	44 	52 	60 	74
CECILIA 	13 	18 	16 	12 	14 	13 	21 	10 	16 	11
CECILIE 	37 	41 	54 	60 	86 	88 	90 	120 	130 	173
CELINA 	83 	113 	111 	105 	140 	87 	81 	46 	37 	44
CELINE 	152 	158 	138 	165 	179 	154 	191 	184 	143 	153
CHARLOTTE 	71 	60 	85 	87 	83 	109 	123 	150 	171 	172
CHRISTIANE 	9 	14 	10 	9 	8 	17 	16 	15 	13 	9
CHRISTINA 	67 	52 	65 	72 	76 	73 	64 	76 	63 	91
CHRISTINE 	44 	37 	41 	63 	62 	78 	88 	68 	95 	94
CINDY 	12 	6 	: 	: 	: 	: 	: 	5 	4 	:
CLARA 	8 	15 	18 	10 	13 	7 	9 	7 	8 	7
CONNIE 	6 	: 	: 	: 	7 	: 	4 	6 	11 	12
CORNELIA 	48 	34 	22 	25 	23 	26 	22 	17 	13 	18
DANIELA 	9 	6 	10 	9 	10 	4 	5 	4 	4 	8
DANIELLA 	10 	13 	9 	15 	8 	7 	9 	5 	: 	9
DIANA 	11 	6 	10 	13 	9 	10 	8 	10 	11 	14
DINA 	96 	101 	131 	133 	136 	83 	72 	54 	54 	44
DORTHE 	8 	: 	10 	14 	12 	21 	25 	13 	9 	19
DORTHEA 	11 	9 	4 	13 	9 	13 	7 	: 	12 	6
EA 	12 	10 	10 	4 	4 	4 	: 	: 	: 	:
EBBA 	24 	17 	8 	13 	10 	13 	: 	15 	8 	10
EDEL 	8 	7 	8 	9 	11 	7 	11 	13 	8 	7
EIRA 	32 	27 	21 	32 	22 	12 	23 	20 	18 	12
EIRIN 	26 	35 	55 	41 	47 	55 	57 	66 	72 	78
EIVOR 	8 	12 	7 	10 	6 	4 	6 	7 	4 	:
ELEA 	11 	: 	: 	: 	: 	: 	: 	: 	: 	:
ELENA 	34 	26 	25 	30 	25 	23 	23 	33 	19 	34
ELI 	8 	10 	8 	12 	13 	15 	29 	13 	18 	19
ELIDA 	50 	40 	19 	31 	23 	25 	24 	22 	21 	15
ELIN 	36 	29 	39 	45 	58 	50 	70 	84 	75 	69
ELINA 	36 	37 	23 	31 	18 	11 	14 	17 	12 	17
ELINE 	159 	148 	137 	157 	149 	153 	163 	169 	155 	134
ELISA 	29 	23 	17 	31 	30 	24 	30 	17 	5 	8
ELISABET 	4 	5 	5 	5 	6 	6 	6 	10 	12 	11
ELISABETH 	67 	63 	81 	81 	102 	116 	119 	131 	155 	165
ELISE 	221 	211 	217 	239 	223 	244 	208 	224 	229 	224
ELIZABETH 	: 	5 	10 	5 	7 	17 	7 	8 	9 	5
ELLA 	168 	119 	123 	83 	51 	37 	40 	38 	30 	26
ELLEN 	33 	38 	34 	51 	39 	43 	52 	79 	60 	60
ELLINOR 	28 	24 	22 	12 	16 	17 	17 	14 	12 	14
ELSA 	18 	13 	9 	13 	10 	4 	4 	10 	: 	:
ELSE 	4 	4 	10 	: 	12 	10 	8 	10 	11 	7
ELVIRA 	25 	5 	7 	4 	7 	: 	5 	6 	8 	4
EMBLA 	29 	22 	22 	30 	31 	37 	27 	31 	27 	21
EMELIE 	10 	6 	4 	8 	5 	8 	7 	7 	9 	10
EMILIA 	34 	39 	26 	22 	32 	28 	27 	35 	21 	7
EMILIE 	362 	400 	410 	404 	404 	444 	531 	583 	438 	381
EMILY 	59 	59 	58 	64 	44 	38 	56 	48 	37 	45
EMMA 	456 	502 	731 	806 	446 	397 	388 	416 	407 	234
EMMY 	8 	9 	7 	10 	5 	4 	10 	4 	4 	6
ENYA 	13 	5 	7 	4 	4 	4 	8 	: 	: 	5
ERICA 	25 	26 	18 	25 	14 	21 	29 	24 	19 	17
ERIKA 	34 	40 	40 	22 	29 	28 	35 	36 	38 	31
ERLE 	72 	45 	49 	32 	33 	18 	23 	16 	14 	20
ESTER 	12 	7 	7 	5 	17 	18 	6 	8 	10 	7
ESTHER 	4 	8 	14 	11 	6 	10 	4 	5 	6 	12
EVA 	60 	83 	56 	52 	53 	34 	43 	45 	42 	39
EVELINA 	12 	: 	5 	: 	: 	4 	4 	: 	: 	4
EVELYN 	8 	12 	9 	6 	7 	7 	9 	9 	10 	7
FANNY 	15 	14 	19 	14 	14 	24 	26 	20 	18 	23
FATIMA 	20 	16 	21 	29 	22 	23 	21 	18 	23 	11
FELICIA 	9 	11 	8 	13 	14 	10 	12 	: 	7 	10
FILIPPA 	26 	36 	26 	22 	19 	9 	7 	5 	: 	:
FIONA 	13 	4 	5 	5 	5 	5 	6 	7 	6 	:
FREDRIKKE 	12 	11 	18 	17 	12 	7 	14 	15 	11 	16
FREYA 	10 	9 	5 	5 	5 	: 	: 	: 	: 	:
FRIDA 	244 	254 	285 	335 	269 	307 	268 	281 	294 	303
FRIDE 	17 	15 	20 	20 	13 	23 	16 	13 	19 	19
FRØYA 	28 	37 	31 	37 	25 	12 	12 	8 	9 	5
FRØYDIS 	6 	4 	6 	12 	11 	6 	5 	11 	: 	8
GABRIELLA 	11 	6 	4 	: 	10 	: 	5 	7 	4 	7
GABRIELLE 	6 	: 	6 	4 	12 	7 	13 	: 	10 	8
GINA 	20 	24 	25 	41 	35 	41 	33 	42 	37 	49
GRETE 	4 	: 	: 	5 	6 	4 	5 	11 	17 	4
GRO 	5 	: 	4 	5 	6 	6 	4 	5 	7 	12
GRY 	: 	: 	: 	5 	: 	: 	7 	11 	12 	9
GUNHILD 	6 	5 	11 	9 	6 	10 	8 	11 	14 	11
GUNN 	: 	5 	: 	5 	8 	6 	8 	12 	10 	10
GURI 	5 	6 	6 	: 	5 	: 	10 	9 	10 	9
GURO 	61 	75 	110 	106 	94 	90 	92 	107 	100 	119
GØRIL 	: 	4 	: 	: 	7 	: 	10 	: 	7 	6
