CATO 	5 	7 	5 	9 	8 	7 	9 	11 	15 	17
CHRIS 	20 	18 	17 	20 	26 	29 	30 	30 	33 	45
CHRISTER 	7 	19 	18 	28 	20 	28 	34 	33 	25 	37
CHRISTIAN 	155 	168 	172 	193 	221 	258 	251 	240 	262 	248
CHRISTOFFER 	83 	87 	107 	99 	150 	142 	165 	165 	160 	177
CHRISTOPHER 	61 	47 	57 	52 	42 	59 	66 	57 	53 	67
COLIN 	7 	12 	12 	10 	5 	5 	4 	6 	5 	:
CONRAD 	8 	11 	5 	8 	8 	7 	6 	: 	: 	5
CORNELIUS 	7 	9 	10 	9 	14 	10 	7 	12 	9 	:
DAG 	9 	14 	7 	11 	13 	9 	23 	16 	23 	34
DAN 	5 	10 	13 	12 	14 	20 	15 	14 	25 	11
DANIAL 	5 	5 	10 	5 	12 	11 	6 	9 	: 	6
DANIEL 	385 	422 	450 	449 	458 	476 	477 	500 	540 	518
DAVID 	161 	200 	159 	182 	113 	110 	110 	107 	103 	89
DENIS 	6 	10 	7 	5 	7 	7 	: 	6 	6 	5
DENNIS 	95 	100 	94 	78 	97 	69 	87 	80 	73 	57
DIDRIK 	26 	48 	29 	39 	57 	38 	50 	46 	31 	53
EDVARD 	68 	65 	75 	76 	53 	59 	58 	75 	57 	69
EDVIN 	22 	22 	26 	15 	20 	26 	11 	15 	13 	10
EDWARD 	14 	13 	16 	13 	10 	9 	17 	10 	9 	16
EGIL 	8 	4 	12 	: 	10 	12 	13 	18 	18 	17
EINAR 	42 	53 	54 	60 	49 	65 	63 	64 	62 	80
EIRIK 	218 	270 	276 	226 	229 	303 	328 	330 	301 	325
EIVIND 	103 	109 	85 	97 	85 	102 	135 	125 	146 	153
ELIAS 	442 	394 	384 	334 	269 	272 	230 	173 	126 	99
ELLIOT 	19 	18 	13 	7 	9 	: 	: 	4 	: 	:
EMANUEL 	7 	8 	13 	11 	7 	6 	6 	10 	4 	4
EMIL 	387 	380 	406 	401 	364 	369 	332 	330 	291 	285
EMRE 	14 	15 	14 	9 	5 	12 	9 	9 	5 	7
ENDRE 	36 	49 	51 	56 	55 	70 	57 	57 	55 	61
ERIC 	13 	27 	20 	18 	25 	24 	22 	28 	21 	26
ERIK 	201 	227 	223 	268 	223 	255 	266 	282 	277 	289
ERLAND 	7 	: 	7 	6 	7 	10 	6 	10 	6 	6
ERLEND 	118 	124 	151 	146 	145 	161 	183 	212 	221 	264
ERLING 	35 	41 	28 	35 	37 	33 	48 	46 	53 	38
ESKIL 	121 	113 	75 	97 	102 	80 	91 	68 	61 	52
ESKILD 	9 	7 	11 	10 	20 	14 	12 	9 	15 	15
ESPEN 	54 	55 	81 	75 	118 	102 	127 	149 	186 	197
EVEN 	241 	195 	144 	161 	160 	193 	190 	181 	213 	182
FABIAN 	50 	67 	51 	54 	43 	47 	44 	47 	52 	29
FALK 	11 	4 	8 	7 	5 	5 	: 	4 	: 	:
FELIX 	110 	97 	79 	80 	67 	43 	42 	48 	30 	26
FERDINAND 	19 	30 	21 	17 	15 	18 	12 	11 	14 	13
FILIP 	141 	122 	118 	102 	87 	95 	100 	76 	73 	56
FILLIP 	16 	23 	9 	6 	7 	6 	: 	6 	4 	:
FINN 	13 	10 	7 	9 	17 	17 	22 	10 	10 	11
FRANK 	9 	7 	5 	7 	11 	15 	17 	14 	20 	21
FREDERIK 	6 	19 	19 	13 	13 	14 	17 	17 	16 	18
FREDRICK 	: 	8 	7 	9 	6 	9 	10 	11 	15 	9
FREDRIK 	266 	305 	328 	358 	323 	353 	412 	406 	419 	474
FRODE 	: 	6 	6 	4 	9 	12 	8 	11 	14 	14
GABRIEL 	115 	113 	89 	80 	61 	69 	63 	46 	52 	38
GARD 	27 	22 	49 	39 	50 	47 	53 	63 	29 	34
GAUTE 	20 	26 	30 	64 	34 	31 	31 	27 	40 	38
GEIR 	: 	12 	7 	13 	10 	23 	18 	16 	21 	28
GEORG 	20 	13 	26 	41 	26 	33 	32 	39 	27 	34
